Text,Comment,Image,Folio
urn:cts:greekLit:tlg5026.msAint.hmt:14.H2,Interior,"urn:cite:hmt:vaimg.VA186RN_0187@0.14314665,0.50456432,0.03537214,0.01396957",urn:cite:hmt:msA.186r
urn:cts:greekLit:tlg5026.msAint.hmt:14.H3,Interior,"urn:cite:hmt:vaimg.VA186RN_0187@0.12877671,0.57828492,0.06005895,0.03430152",urn:cite:hmt:msA.186r
urn:cts:greekLit:tlg5026.msAint.hmt:14.H4,Interior,"urn:cite:hmt:vaimg.VA186RN_0187@0.14204127,0.65712310,0.04992631,0.01521438",urn:cite:hmt:msA.186r
urn:cts:greekLit:tlg5026.msAint.hmt:14.H5,Interior,"urn:cite:hmt:vaimg.VA186VN_0688@0.90475313,0.61051176,0.03868828,0.06874136",urn:cite:hmt:msA.186v
urn:cts:greekLit:tlg5026.msAint.hmt:14.A1,"First interior scholion, 187R, Iliad 14","urn:cite:hmt:vaimg.VA187RN_0188@0.09322034,0.58838174,0.05784819,0.03167358",urn:cite:hmt:msA.187r
urn:cts:greekLit:tlg5026.msAint.hmt:14.A2,"First interior scholion, 187v, Iliad 14","urn:cite:hmt:vaimg.VA187VN_0689@0.89609433,0.65089903,0.04789978,0.05532503",urn:cite:hmt:msA.187v
urn:cts:greekLit:tlg5026.msAint.hmt:14.D1,"First interior scholion, 188r","urn:cite:hmt:vaimg.VA188RN_0189@0.10537951,0.25878285,0.05987472,0.02088520",urn:cite:hmt:msA.188r
urn:cts:greekLit:tlg5026.msAint.hmt:14.D2,"Second interior scholion, 188r","urn:cite:hmt:vaimg.VA188RN_0189@0.09561533,0.39308437,0.06079587,0.03195021",urn:cite:hmt:msA.188r
urn:cts:greekLit:tlg5026.msAint.hmt:14.D3,"Third interior scholion, 188r","urn:cite:hmt:vaimg.VA188RN_0189@0.09358880,0.43734440,0.06779661,0.01894882",urn:cite:hmt:msA.188r
urn:cts:greekLit:tlg5026.msAint.hmt:14.D4,"Fourth interior scholion, 188r","urn:cite:hmt:vaimg.VA188RN_0189@0.09450995,0.55491010,0.06245394,0.03236515",urn:cite:hmt:msA.188r
urn:cts:greekLit:tlg5026.msAint.hmt:14.D5,"Fifth interior scholion, 188r","urn:cite:hmt:vaimg.VA188RN_0189@0.07940310,0.64287690,0.07313928,0.02849239",urn:cite:hmt:msA.188r
urn:cts:greekLit:tlg5026.msAint.hmt:14.D6,"First interior scholion of 189r","urn:cite:hmt:vaimg.VA189RN_0360@0.10593220,0.35477178,0.05047900,0.00995851",urn:cite:hmt:msA.189r
urn:cts:greekLit:tlg5026.msAint.hmt:14.D7,"Second interior scholion of 189r","urn:cite:hmt:vaimg.VA189RN_0360@0.10224761,0.37302905,0.06226971,0.01687414",urn:cite:hmt:msA.189r
urn:cts:greekLit:tlg5026.msAint.hmt:14.D8,"Third interior scholion of 189r","urn:cite:hmt:vaimg.VA189RN_0360@0.10298452,0.38934993,0.05084746,0.02434302",urn:cite:hmt:msA.189r
urn:cts:greekLit:tlg5026.msAint.hmt:14.D9,"Fourth interior scholion of 189r","urn:cite:hmt:vaimg.VA189RN_0360@0.10261606,0.44052559,0.06226971,0.05200553",urn:cite:hmt:msA.189r
urn:cts:greekLit:tlg5026.msAint.hmt:14.F1,"First interior scholion, 190r, Iliad 14","urn:cite:hmt:vaimg.VA190RN_0191@0.10261606,0.56556017,0.05158438,0.02987552",urn:cite:hmt:msA.190r
urn:cts:greekLit:tlg5026.msAil.hmt:14.B1,"First Interlinear scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.90364775,0.46597510,0.03316139,0.00871369",urn:cite:hmt:msA.180v
urn:cts:greekLit:tlg5026.msAil.hmt:14.B2,"Second Interlinear scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.54495210,0.53900415,0.06963891,0.01120332","urn:cite:hmt:msA.180v"
urn:cts:greekLit:tlg5026.msAil.hmt:14.B3,"Third Interlinear scholion of 180v","urn:cite:hmt:vaimg.VA180VN_0682@0.76215917,0.59668050,0.06742815,0.01037344",urn:cite:hmt:msA.180v
