"urn:cite:hmt:scholia.66","urn:cts:greekLit:tlg5026.msA.hmt:8.122","Main scholion 64","urn:cite:hmt:chsimg.VA103VN-0606@0.2137,0.7979,0.6314,0.0498","urn:cite:hmt:msA.103v"
"urn:cite:hmt:scholia.67","urn:cts:greekLit:tlg5026.msA.hmt:8.131","Main scholion 65","urn:cite:hmt:chsimg.VA104RN-0105@0.1589,0.1169,0.6377,0.0491","urn:cite:hmt:msA.104r"
"urn:cite:hmt:scholia.68","urn:cts:greekLit:tlg5026.msA.hmt:8.132","Main scholion 66","urn:cite:hmt:chsimg.VA104RN-0105@0.1763,0.151,0.6229,0.0474","urn:cite:hmt:msA.104r"
"urn:cite:hmt:scholia.69","urn:cts:greekLit:tlg5026.msA.hmt:8.133","Main scholion 67","urn:cite:hmt:chsimg.VA104RN-0105@0.1786,0.1712,0.6383,0.1929","urn:cite:hmt:msA.104r"
"urn:cite:hmt:scholia.70","urn:cts:greekLit:tlg5026.msA.hmt:8.134","Main scholion 68","urn:cite:hmt:chsimg.VA104RN-0105@0.5883,0.3416,0.222,0.0433","urn:cite:hmt:msA.104r"
"urn:cite:hmt:scholia.71","urn:cts:greekLit:tlg5026.msA.hmt:8.135","Main scholion 69","urn:cite:hmt:chsimg.VA104RN-0105@0.592,0.3712,0.2406,0.0869","urn:cite:hmt:msA.104r"
"urn:cite:hmt:scholia.72","urn:cts:greekLit:tlg5026.msA.hmt:8.136","Main scholion 70","urn:cite:hmt:chsimg.VA104RN-0105@0.6046,0.4503,0.2377,0.1697","urn:cite:hmt:msA.104r"
"urn:cite:hmt:scholia.73","urn:cts:greekLit:tlg5026.msA.hmt:8.137","Main scholion 71","urn:cite:hmt:chsimg.VA104RN-0105@0.5946,0.5971,0.2346,0.0905","urn:cite:hmt:msA.104r"
"urn:cite:hmt:scholia.74","urn:cts:greekLit:tlg5026.msA.hmt:8.138","Main scholion 72","urn:cite:hmt:chsimg.VA104RN-0105@0.6057,0.6745,0.2191,0.0637","urn:cite:hmt:msA.104r"
"urn:cite:hmt:scholia.75","urn:cts:greekLit:tlg5026.msA.hmt:8.139","Main scholion 73","urn:cite:hmt:chsimg.VA104RN-0105@0.1683,0.7305,0.6534,0.0461","urn:cite:hmt:msA.104r"
"urn:cite:hmt:scholia.76","urn:cts:greekLit:tlg5026.msA.hmt:8.140","Main scholion 74","urn:cite:hmt:chsimg.VA104RN-0105@0.1723,0.7494,0.6469,0.0423","urn:cite:hmt:msA.104r"
"urn:cite:hmt:scholia.77","urn:cts:greekLit:tlg5026.msA.hmt:8.146","Main scholion 75","urn:cite:hmt:chsimg.VA104VN-0607@0.1814,0.1319,0.6766,0.0416","urn:cite:hmt:msA.104v"
"urn:cite:hmt:scholia.78","urn:cts:greekLit:tlg5026.msA.hmt:8.147","Main scholion 76","urn:cite:hmt:chsimg.VA104VN-0607@0.1909,0.1476,0.6766,0.0378","urn:cite:hmt:msA.104v"
"urn:cite:hmt:scholia.79","urn:cts:greekLit:tlg5026.msA.hmt:8.148","Main scholion 77","urn:cite:hmt:chsimg.VA104VN-0607@0.1889,0.1749,0.6297,0.0215","urn:cite:hmt:msA.104v"
"urn:cite:hmt:scholia.80","urn:cts:greekLit:tlg5026.msA.hmt:8.149","Main scholion 78","urn:cite:hmt:chsimg.VA104VN-0607@0.1863,0.1832,0.6877,0.0348","urn:cite:hmt:msA.104v"
"urn:cite:hmt:scholia.81","urn:cts:greekLit:tlg5026.msA.hmt:8.9011","Main scholion","urn:cite:hmt:chsimg.VA104VN-0607@0.1791,0.1946,0.698,0.0862","urn:cite:hmt:msA.104v"
"urn:cite:hmt:scholia.82","urn:cts:greekLit:tlg5026.msA.hmt:8.150","Main scholion 79","urn:cite:hmt:chsimg.VA104VN-0607@0.178,0.5115,0.2226,0.0521","urn:cite:hmt:msA.104v"
"urn:cite:hmt:scholia.83","urn:cts:greekLit:tlg5026.msA.hmt:8.151","Main scholion 80","urn:cite:hmt:chsimg.VA104VN-0607@0.1754,0.554,0.2383,0.0869","urn:cite:hmt:msA.104v"
"urn:cite:hmt:scholia.84","urn:cts:greekLit:tlg5026.msA.hmt:8.152","Main scholion 81","urn:cite:hmt:chsimg.VA104VN-0607@0.1637,0.6258,0.7217,0.1783","urn:cite:hmt:msA.104v"
"urn:cite:hmt:scholia.85","urn:cts:greekLit:tlg5026.msA.hmt:8.153","Main scholion 82","urn:cite:hmt:chsimg.VA104VN-0607@0.1857,0.7732,0.6989,0.0624","urn:cite:hmt:msA.104v"
"urn:cite:hmt:scholia.86","urn:cts:greekLit:tlg5026.msA.hmt:8.154","Main scholion 83","urn:cite:hmt:chsimg.VA104VN-0607@0.1846,0.8148,0.7011,0.0706","urn:cite:hmt:msA.104v"
"urn:cite:hmt:scholia.87","urn:cts:greekLit:tlg5026.msA.hmt:8.155","Main scholion 84","urn:cite:hmt:chsimg.VA104VN-0607@0.1883,0.8558,0.7006,0.0594","urn:cite:hmt:msA.104v"
"urn:cite:hmt:scholia.88","urn:cts:greekLit:tlg5026.msA.hmt:8.162","Main scholion 85","urn:cite:hmt:chsimg.VA105RN-0106@0.1683,0.1118,0.6343,0.0736","urn:cite:hmt:msA.105r"
"urn:cite:hmt:scholia.89","urn:cts:greekLit:tlg5026.msA.hmt:8.163","Main scholion 86","urn:cite:hmt:chsimg.VA105RN-0106@0.1786,0.157,0.6269,0.0436","urn:cite:hmt:msA.105r"
"urn:cite:hmt:scholia.90","urn:cts:greekLit:tlg5026.msA.hmt:8.164","Main scholion 87","urn:cite:hmt:chsimg.VA105RN-0106@0.1766,0.1725,0.6411,0.0901","urn:cite:hmt:msA.105r"
"urn:cite:hmt:scholia.91","urn:cts:greekLit:tlg5026.msA.hmt:8.165","Main scholion 88","urn:cite:hmt:chsimg.VA105RN-0106@0.5966,0.2521,0.2091,0.0487","urn:cite:hmt:msA.105r"
"urn:cite:hmt:scholia.92","urn:cts:greekLit:tlg5026.msA.hmt:8.166","Main scholion 89","urn:cite:hmt:chsimg.VA105RN-0106@0.6014,0.2866,0.2077,0.0575","urn:cite:hmt:msA.105r"
"urn:cite:hmt:scholia.93","urn:cts:greekLit:tlg5026.msA.hmt:8.167","Main scholion 90","urn:cite:hmt:chsimg.VA105RN-0106@0.5997,0.3317,0.2183,0.115","urn:cite:hmt:msA.105r"
"urn:cite:hmt:scholia.94","urn:cts:greekLit:tlg5026.msA.hmt:8.168","Main scholion 91","urn:cite:hmt:chsimg.VA105RN-0106@0.6031,0.4347,0.2077,0.0706","urn:cite:hmt:msA.105r"
"urn:cite:hmt:scholia.95","urn:cts:greekLit:tlg5026.msA.hmt:8.169","Main scholion 92","urn:cite:hmt:chsimg.VA105RN-0106@0.6137,0.4866,0.2103,0.0813","urn:cite:hmt:msA.105r"
"urn:cite:hmt:scholia.96","urn:cts:greekLit:tlg5026.msA.hmt:8.170","Main scholion 93","urn:cite:hmt:chsimg.VA105RN-0106@0.6194,0.5707,0.1946,0.0586","urn:cite:hmt:msA.105r"
"urn:cite:hmt:scholia.97","urn:cts:greekLit:tlg5026.msA.hmt:8.171","Main scholion 94","urn:cite:hmt:chsimg.VA105RN-0106@0.5991,0.622,0.2206,0.1701","urn:cite:hmt:msA.105r"
"urn:cite:hmt:scholia.98","urn:cts:greekLit:tlg5026.msA.hmt:8.179","Main scholion 95","urn:cite:hmt:chsimg.VA105VN-0608@0.188,0.1311,0.6763,0.0811","urn:cite:hmt:msA.105v"
"urn:cite:hmt:scholia.99","urn:cts:greekLit:tlg5026.msA.hmt:8.180","Main scholion 96","urn:cite:hmt:chsimg.VA105VN-0608@0.1991,0.171,0.6671,0.0504","urn:cite:hmt:msA.105v"
"urn:cite:hmt:scholia.100","urn:cts:greekLit:tlg5026.msA.hmt:8.181","Main scholion 97","urn:cite:hmt:chsimg.VA105VN-0608@0.1871,0.2047,0.4566,0.038","urn:cite:hmt:msA.105v"
"urn:cite:hmt:scholia.101","urn:cts:greekLit:tlg5026.msA.hmt:8.182","Main scholion 98","urn:cite:hmt:chsimg.VA105VN-0608@0.1906,0.6104,0.216,0.077","urn:cite:hmt:msA.105v"
"urn:cite:hmt:scholia.102","urn:cts:greekLit:tlg5026.msA.hmt:8.183","Main scholion 99","urn:cite:hmt:chsimg.VA105VN-0608@0.1977,0.675,0.2037,0.0508","urn:cite:hmt:msA.105v"
"urn:cite:hmt:scholia.103","urn:cts:greekLit:tlg5026.msA.hmt:8.194","Main scholion 100","urn:cite:hmt:chsimg.VA106RN-0107@0.6229,0.324,0.1926,0.0802","urn:cite:hmt:msA.106r"
"urn:cite:hmt:scholia.104","urn:cts:greekLit:tlg5026.msA.hmt:8.195","Main scholion 101","urn:cite:hmt:chsimg.VA106RN-0107@0.6229,0.3967,0.186,0.0496","urn:cite:hmt:msA.106r"
"urn:cite:hmt:scholia.105","urn:cts:greekLit:tlg5026.msA.hmt:8.196","Main scholion 102","urn:cite:hmt:chsimg.VA106RN-0107@0.6214,0.4357,0.1946,0.0749","urn:cite:hmt:msA.106r"
"urn:cite:hmt:scholia.106","urn:cts:greekLit:tlg5026.msA.hmt:8.197","Main scholion 103","urn:cite:hmt:chsimg.VA106RN-0107@0.1689,0.5031,0.6506,0.2686","urn:cite:hmt:msA.106r"
"urn:cite:hmt:scholia.107","urn:cts:greekLit:tlg5026.msA.hmt:8.198","Main scholion 104","urn:cite:hmt:chsimg.VA106RN-0107@0.1671,0.7509,0.6431,0.0298","urn:cite:hmt:msA.106r"
"urn:cite:hmt:scholia.108","urn:cts:greekLit:tlg5026.msA.hmt:8.199","Main scholion 105","urn:cite:hmt:chsimg.VA106RN-0107@0.1634,0.7627,0.6546,0.0521","urn:cite:hmt:msA.106r"
"urn:cite:hmt:scholia.109","urn:cts:greekLit:tlg5026.msA.hmt:8.204","Main scholion 106","urn:cite:hmt:chsimg.VA106VN-0609@0.1743,0.1341,0.6634,0.035","urn:cite:hmt:msA.106v"
"urn:cite:hmt:scholia.110","urn:cts:greekLit:tlg5026.msA.hmt:8.205","Main scholion 107","urn:cite:hmt:chsimg.VA106VN-0609@0.1777,0.3958,0.226,0.2532","urn:cite:hmt:msA.106v"
"urn:cite:hmt:scholia.111","urn:cts:greekLit:tlg5026.msA.hmt:8.206","Main scholion 108","urn:cite:hmt:chsimg.VA106VN-0609@0.1809,0.6203,0.2223,0.0622","urn:cite:hmt:msA.106v"
"urn:cite:hmt:scholia.112","urn:cts:greekLit:tlg5026.msA.hmt:8.207","Main scholion 109","urn:cite:hmt:chsimg.VA106VN-0609@0.1829,0.6642,0.2406,0.0669","urn:cite:hmt:msA.106v"
"urn:cite:hmt:scholia.113","urn:cts:greekLit:tlg5026.msA.hmt:8.208","Main scholion 110","urn:cite:hmt:chsimg.VA106VN-0609@0.182,0.7166,0.2883,0.0523","urn:cite:hmt:msA.106v"
"urn:cite:hmt:scholia.114","urn:cts:greekLit:tlg5026.msA.hmt:8.209","Main scholion 111","urn:cite:hmt:chsimg.VA106VN-0609@0.4823,0.7273,0.3797,0.0399","urn:cite:hmt:msA.106v"
"urn:cite:hmt:scholia.115","urn:cts:greekLit:tlg5026.msA.hmt:8.210","Main scholion 112","urn:cite:hmt:chsimg.VA106VN-0609@0.1877,0.7413,0.6866,0.0659","urn:cite:hmt:msA.106v"
"urn:cite:hmt:scholia.116","urn:cts:greekLit:tlg5026.msA.hmt:8.222","Main scholion 113","urn:cite:hmt:chsimg.VA107RN-0108@0.1688,0.1132,0.6484,0.0676","urn:cite:hmt:msA.107r"
"urn:cite:hmt:scholia.117","urn:cts:greekLit:tlg5026.msA.hmt:8.223","Main scholion 114","urn:cite:hmt:chsimg.VA107RN-0108@0.1832,0.1622,0.6224,0.0439","urn:cite:hmt:msA.107r"
"urn:cite:hmt:scholia.118","urn:cts:greekLit:tlg5026.msA.hmt:8.224","Main scholion 115","urn:cite:hmt:chsimg.VA107RN-0108@0.1732,0.1808,0.644,0.0682","urn:cite:hmt:msA.107r"
"urn:cite:hmt:scholia.119","urn:cts:greekLit:tlg5026.msA.hmt:8.225","Main scholion 116","urn:cite:hmt:chsimg.VA107RN-0108@0.616,0.2418,0.2228,0.085","urn:cite:hmt:msA.107r"
"urn:cite:hmt:scholia.120","urn:cts:greekLit:tlg5026.msA.hmt:8.226","Main scholion 117","urn:cite:hmt:chsimg.VA107RN-0108@0.614,0.3118,0.2084,0.0634","urn:cite:hmt:msA.107r"
"urn:cite:hmt:scholia.121","urn:cts:greekLit:tlg5026.msA.hmt:8.227","Main scholion 118","urn:cite:hmt:chsimg.VA107RN-0108@0.62,0.4506,0.1956,0.0802","urn:cite:hmt:msA.107r"
"urn:cite:hmt:scholia.122","urn:cts:greekLit:tlg5026.msA.hmt:8.228","Main scholion 119","urn:cite:hmt:chsimg.VA107RN-0108@0.5991,0.5235,0.2191,0.2045","urn:cite:hmt:msA.107r"
"urn:cite:hmt:scholia.123","urn:cts:greekLit:tlg5026.msA.hmt:8.9003","Main scholion","urn:cite:hmt:chsimg.VA107RN-0108@0.1571,0.7196,0.6634,0.0624","urn:cite:hmt:msA.107r"
