Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:2.112,"urn:cite:hmt:vaimg.VA026VN-0528@0.481,0.2389,0.382,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.113,"urn:cite:hmt:vaimg.VA026VN-0528@0.481,0.2569,0.382,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.114,"urn:cite:hmt:vaimg.VA026VN-0528@0.487,0.2757,0.382,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.115,"urn:cite:hmt:vaimg.VA026VN-0528@0.486,0.2938,0.382,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.116,"urn:cite:hmt:vaimg.VA026VN-0528@0.486,0.3118,0.382,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.117,"urn:cite:hmt:vaimg.VA026VN-0528@0.483,0.3313,0.382,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.118,"urn:cite:hmt:vaimg.VA026VN-0528@0.483,0.3494,0.382,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.119,"urn:cite:hmt:vaimg.VA026VN-0528@0.483,0.3689,0.382,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.120,"urn:cite:hmt:vaimg.VA026VN-0528@0.483,0.3899,0.382,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.121,"urn:cite:hmt:vaimg.VA026VN-0528@0.484,0.4072,0.382,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.122,"urn:cite:hmt:vaimg.VA026VN-0528@0.494,0.429,0.382,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.123,"urn:cite:hmt:vaimg.VA026VN-0528@0.477,0.4455,0.382,0.0263"
urn:cts:greekLit:tlg0012.tlg001.msA:2.124,"urn:cite:hmt:vaimg.VA026VN-0528@0.497,0.4591,0.382,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:2.125,"urn:cite:hmt:vaimg.VA026VN-0528@0.489,0.4793,0.382,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:2.126,"urn:cite:hmt:vaimg.VA026VN-0528@0.489,0.4944,0.382,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:2.127,"urn:cite:hmt:vaimg.VA026VN-0528@0.49,0.5162,0.397,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:2.128,"urn:cite:hmt:vaimg.VA026VN-0528@0.489,0.5319,0.364,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:2.129,"urn:cite:hmt:vaimg.VA026VN-0528@0.491,0.5545,0.387,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:2.130,"urn:cite:hmt:vaimg.VA026VN-0528@0.491,0.5733,0.387,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:2.131,"urn:cite:hmt:vaimg.VA026VN-0528@0.492,0.5905,0.387,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.132,"urn:cite:hmt:vaimg.VA026VN-0528@0.491,0.6093,0.387,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.133,"urn:cite:hmt:vaimg.VA026VN-0528@0.491,0.6326,0.387,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.134,"urn:cite:hmt:vaimg.VA026VN-0528@0.492,0.6506,0.387,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.135,"urn:cite:hmt:vaimg.VA026VN-0528@0.501,0.6687,0.396,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:2.136,"urn:cite:hmt:vaimg.VA027RN-0028@0.151,0.2044,0.398,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:2.137,"urn:cite:hmt:vaimg.VA027RN-0028@0.154,0.2269,0.398,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.138,"urn:cite:hmt:vaimg.VA027RN-0028@0.156,0.2434,0.398,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:2.139,"urn:cite:hmt:vaimg.VA027RN-0028@0.155,0.2622,0.398,0.027"
