TextURN,ImageURN
urn:cts:greekLit:tlg0012.tlg001.msA:8.254,"urn:cite:hmt:vaimg.VA105VN-0608@0.4525,0.3772,0.4114,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.255,"urn:cite:hmt:vaimg.VA105VN-0608@0.4525,0.3952,0.4164,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.256,"urn:cite:hmt:vaimg.VA105VN-0608@0.4605,0.411,0.4064,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.257,"urn:cite:hmt:vaimg.VA105VN-0608@0.4424,0.4313,0.4354,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.258,"urn:cite:hmt:vaimg.VA105VN-0608@0.4575,0.45,0.4174,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.259,"urn:cite:hmt:vaimg.VA105VN-0608@0.4595,0.4666,0.3684,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.260,"urn:cite:hmt:vaimg.VA105VN-0608@0.4635,0.4838,0.4024,0.0406"
urn:cts:greekLit:tlg0012.tlg001.msA:8.261,"urn:cite:hmt:vaimg.VA105VN-0608@0.4595,0.5034,0.4204,0.0406"
urn:cts:greekLit:tlg0012.tlg001.msA:8.262,"urn:cite:hmt:vaimg.VA105VN-0608@0.4645,0.5214,0.4114,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:8.263,"urn:cite:hmt:vaimg.VA105VN-0608@0.4585,0.5409,0.4164,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:8.264,"urn:cite:hmt:vaimg.VA105VN-0608@0.4625,0.559,0.4164,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:8.265,"urn:cite:hmt:vaimg.VA105VN-0608@0.4615,0.5785,0.4214,0.0376"
urn:cts:greekLit:tlg0012.tlg001.msA:8.266,"urn:cite:hmt:vaimg.VA105VN-0608@0.4454,0.5958,0.4545,0.0406"
urn:cts:greekLit:tlg0012.tlg001.msA:8.267,"urn:cite:hmt:vaimg.VA105VN-0608@0.4655,0.6153,0.3944,0.0406"
