Text,Image
urn:cts:greekLit:tlg0012.tlg001.msA:12.95,"urn:cite:hmt:vaimg.VA156RN-0327@0.1702,0.562,0.4254,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:12.96,"urn:cite:hmt:vaimg.VA156RN-0327@0.1532,0.5823,0.4635,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:12.97,"urn:cite:hmt:vaimg.VA156RN-0327@0.1662,0.598,0.4404,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:12.98,"urn:cite:hmt:vaimg.VA156RN-0327@0.1642,0.6198,0.4054,0.0278"
urn:cts:greekLit:tlg0012.tlg001.msA:12.99,"urn:cite:hmt:vaimg.VA156RN-0327@0.1662,0.6401,0.3754,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.100,"urn:cite:hmt:vaimg.VA156RN-0327@0.1642,0.6529,0.4474,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:12.101,"urn:cite:hmt:vaimg.VA156VN-0658@0.5075,0.2156,0.3794,0.0285"
urn:cts:greekLit:tlg0012.tlg001.msA:12.102,"urn:cite:hmt:vaimg.VA156VN-0658@0.5036,0.239,0.3908,0.026"
urn:cts:greekLit:tlg0012.tlg001.msA:12.103,"urn:cite:hmt:vaimg.VA156VN-0658@0.5065,0.2602,0.3528,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:12.104,"urn:cite:hmt:vaimg.VA156VN-0658@0.5075,0.2787,0.3994,0.0248"
urn:cts:greekLit:tlg0012.tlg001.msA:12.105,"urn:cite:hmt:vaimg.VA156VN-0658@0.5105,0.2968,0.3604,0.0225"
urn:cts:greekLit:tlg0012.tlg001.msA:12.106,"urn:cite:hmt:vaimg.VA156VN-0658@0.505,0.3164,0.3991,0.0211"
urn:cts:greekLit:tlg0012.tlg001.msA:12.107,"urn:cite:hmt:vaimg.VA156VN-0658@0.5069,0.3358,0.4018,0.0246"
urn:cts:greekLit:tlg0012.tlg001.msA:12.108,"urn:cite:hmt:vaimg.VA156VN-0658@0.502,0.359,0.3804,0.0198"
urn:cts:greekLit:tlg0012.tlg001.msA:12.109,"urn:cite:hmt:vaimg.VA156VN-0658@0.5059,0.378,0.3804,0.0198"
