Lemma	Gloss	LexURN
δαήρ	Aus Lydien	urn:cite:perseusGreek:lexentity.lex17745.1
ἐπήν	Conj. = ἐπεὶ ἄν	urn:cite:perseusGreek:lexentity.lex107158.1
νοέω	Excerpta e libris Herodiani	urn:cite:perseusGreek:lexentity.lex48111.1
θεός	God, the Deity	urn:cite:perseusGreek:lexentity.lex28108.1
τεός	Lat. tuus, Hom., Hes., Hdt.: doric, Pind., and Trag. Chorus.	urn:cite:perseusGreek:lexentity.lex74438.1
δμωή	a female slave taken in war	urn:cite:perseusGreek:lexentity.lex21592.1
ἐώρα	a halter	urn:cite:perseusGreek:lexentity.lex111843.1
ὁλάω	a lisping way of pronouncing ὁράω, Ar.	urn:cite:perseusGreek:lexentity.lex120863.1
ἀνήρ	a man	urn:cite:perseusGreek:lexentity.lex87734.1
ὄσσα	a rumour	urn:cite:perseusGreek:lexentity.lex121912.1
νεώς	a temple	urn:cite:perseusGreek:lexentity.lex47905.1
φήμη	a.	urn:cite:perseusGreek:lexentity.lex76875.1
ἀμφί	abhitas	urn:cite:perseusGreek:lexentity.lex86794.1
καθά	according as, just as	urn:cite:perseusGreek:lexentity.lex29768.1
ἐθάς	accustomed	urn:cite:perseusGreek:lexentity.lex102545.1
τύχη	act	urn:cite:perseusGreek:lexentity.lex76707.1
αἰών	aevum	urn:cite:perseusGreek:lexentity.lex12076.1
ἑκάς	afar, far off	urn:cite:perseusGreek:lexentity.lex111915.1
ἐπεί	after that, since, when	urn:cite:perseusGreek:lexentity.lex108091.1
αὖτε	again	urn:cite:perseusGreek:lexentity.lex13052.1
ζωός	alive, living	urn:cite:perseusGreek:lexentity.lex27078.1
ὅμως	all the same, nevertheless	urn:cite:perseusGreek:lexentity.lex122007.1
οἶος	alone, lonely	urn:cite:perseusGreek:lexentity.lex49640.1
πάνυ	altogether	urn:cite:perseusGreek:lexentity.lex50135.1
ἦθος	an accustomed place	urn:cite:perseusGreek:lexentity.lex115742.1
φορά	an act	urn:cite:perseusGreek:lexentity.lex78812.1
μήτε	and not	urn:cite:perseusGreek:lexentity.lex42018.1
μηδέ	and not	urn:cite:perseusGreek:lexentity.lex44669.1
οὔτε	and not, neither . . nor	urn:cite:perseusGreek:lexentity.lex49923.1
ὄχθη	any height or rising ground	urn:cite:perseusGreek:lexentity.lex121956.1
πυρή	any place where fire is kindled	urn:cite:perseusGreek:lexentity.lex63608.1
ἐρωή	any quick motion, rush, force	urn:cite:perseusGreek:lexentity.lex111257.1
ῥέος	anything flowing, stream	urn:cite:perseusGreek:lexentity.lex126764.1
κῦμα	anything swollen	urn:cite:perseusGreek:lexentity.lex38750.1
ἄχνη	anything that comes off the surface	urn:cite:perseusGreek:lexentity.lex99530.1
πάγη	anything that fixes or fastens, snare, noose	urn:cite:perseusGreek:lexentity.lex49962.1
ποθι	anywhere or somewhere	urn:cite:perseusGreek:lexentity.lex57286.1
μάλη	arm-pit	urn:cite:perseusGreek:lexentity.lex41744.1
ὥστε	as being, inasmuch as; that, to, in order that, since	urn:cite:perseusGreek:lexentity.lex126550.1
ὅσος	as great as, how great; so far as, so much as	urn:cite:perseusGreek:lexentity.lex122053.1
ὡσεί	as if, as though	urn:cite:perseusGreek:lexentity.lex126501.1
ἠύτε	as, like as	urn:cite:perseusGreek:lexentity.lex114932.1
λάχη	ashare	urn:cite:perseusGreek:lexentity.lex38885.1
ὄψις	aspect, appearance	urn:cite:perseusGreek:lexentity.lex121972.1
