URN, CtsUrn, Comments, VisualEvidence, FolioUrn
"urn:cite:hmt:scholia.2748","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","69th interlinear later hand scholion of Iliad 2 above eighth line of text","urn:cite:hmt:chsimg.VA027RN-0028@0.4643,0.3446,0.0096,0.008","urn:cite:hmt:msA.27r"
"urn:cite:hmt:scholia.2749","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","70th interlinear later hand scholion of Iliad 2 above tenth line of text","urn:cite:hmt:chsimg.VA027RN-0028@0.2907,0.3762,0.0596,0.0139","urn:cite:hmt:msA.27r"
"urn:cite:hmt:scholia.2750","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","71st interlinear later hand scholion of Iliad 2 above tenth line of text","urn:cite:hmt:chsimg.VA027RN-0028@0.3639,0.3768,0.0114,0.0105","urn:cite:hmt:msA.27r"
"urn:cite:hmt:scholia.2751","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","72nd interlinear later hand scholion of Iliad 2 above tenth line of text","urn:cite:hmt:chsimg.VA027RN-0028@0.4125,0.3789,0.0189,0.0105","urn:cite:hmt:msA.27r"
"urn:cite:hmt:scholia.2752","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","urn:cite:hmt:msA.73rd interlinear later hand scholion of Iliad 2 above thirteenth line of text","urn:cite:hmt:chsimg.VA027RN-0028@0.2521,0.4339,0.0732,0.0158","urn:cite:hmt:msA.27r"
"urn:cite:hmt:scholia.2753","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","74th interlinear later hand scholion of Iliad 2 above fourteenth line of text","urn:cite:hmt:chsimg.VA027RN-0028@0.1664,0.4513,0.0654,0.0137","urn:cite:hmt:msA.27r"
"urn:cite:hmt:scholia.2754","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","75th interlinear later hand scholion of Iliad 2 above fifteenth line of text","urn:cite:hmt:chsimg.VA027RN-0028@0.245,0.4709,0.0707,0.0142","urn:cite:hmt:msA.27r"
"urn:cite:hmt:scholia.2755","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","76th interlinear later hand scholion of Iliad 2 above sixteenth line of text","urn:cite:hmt:chsimg.VA027RN-0028@0.2321,0.4921,0.0689,0.0097","urn:cite:hmt:msA.27r"
"urn:cite:hmt:scholia.2756","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","77th interlinear later hand scholion of Iliad 2 above eighteenth line of text","urn:cite:hmt:chsimg.VA027RN-0028@0.3536,0.5291,0.0293,0.0115","urn:cite:hmt:msA.27r"
"urn:cite:hmt:scholia.2757","urn:cts:greekLit:tlg5026.msAlater.hmt:2.","78th interlinear later hand scholion of Iliad 2 above twentieth line of text","urn:cite:hmt:chsimg.VA027RN-0028@0.1796,0.5621,0.0386,0.0147","urn:cite:hmt:msA.27r"
