PersonUrn	Label	Description
urn:cite:hmt:pers.pers361	Almus	Olmus; Son of Sisyphus
urn:cite:hmt:pers.pers362	Schedius	Son of Perimedes
urn:cite:hmt:pers.pers363	Schedius	Son of Iphitus
urn:cite:hmt:pers.pers364	Perimedes	Father of Schedius
urn:cite:hmt:pers.pers365	Iphitus	Father of Schedius
urn:cite:hmt:pers.pers366	Eurymedon	Charioteer of Agamemnon
urn:cite:hmt:pers.pers366	Eurymedon	Servant of Nestor
urn:cite:hmt:pers.pers367	Ornytion	Ornytus; Son of Sisyphus
urn:cite:hmt:pers.pers368	Naubolos	Son of Ornytus; King of Tanagra
urn:cite:hmt:pers.pers369	Phocos	Son of Aiakos
urn:cite:hmt:pers.pers370	Cyparissus	boy turned in to tree by Apollo; Brother of Minyas and Founder of Kyparissos
urn:cite:hmt:pers.pers371	Asius	Son of Cotys and Myion; King of the Lydians
urn:cite:hmt:pers.pers372	Cotys	Parent of Asius
urn:cite:hmt:pers.pers373	Myion	Parent of Asius
urn:cite:hmt:pers.pers374	Christodorus	Author of the Lydiaka
urn:cite:hmt:pers.pers375	Derceto	Atargatis; Syrian Maiden Goddess
urn:cite:hmt:pers.pers376	Semiramis	One of the several Assyrian Queen
urn:cite:hmt:pers.pers377	Chalcon	Myrmidon
urn:cite:hmt:pers.pers378	Abas	King of Argos; Grandfather of Adrastus
urn:cite:hmt:pers.pers379	Chalcodon	Son of Abas
urn:cite:hmt:pers.pers380	Elephenor	Son of Chalcodon; Suitor of Helen
urn:cite:hmt:pers.pers381	Archamachus	Possibly a grammarian from Euboea
urn:cite:hmt:pers.pers382	Megapenthes	son of Menel?us by a slave
urn:cite:hmt:pers.pers383	Anaxagoras	king of Argos
urn:cite:hmt:pers.pers384	Hipponous	Achaean warrior killed by Hector?
urn:cite:hmt:pers.pers385	Capeneus	one of the seven against Thebes
urn:cite:hmt:pers.pers386	Bias	king of Argos
urn:cite:hmt:pers.pers387	Talaus	Talaos, son of Bias, king of Argos
urn:cite:hmt:pers.pers388	Mekisteus	son of Talaus, brother of Adrastus, and father of Euryalus
urn:cite:hmt:pers.pers389	Euryalus	son of Mekisteus
urn:cite:hmt:pers.pers390	Talaonides	
urn:cite:hmt:pers.pers391	Eurystheus	son of Sthenelus, and king of Myc?nae
