page.v1	rv	sequence	label
urn:cite:hmt:comp.va79v.v1	verso	178	Venetus A Folio 79 verso
urn:cite:hmt:comp.va80r.v1	recto	179	Venetus A Folio 80 recto
urn:cite:hmt:comp.va80v.v1	verso	180	Venetus A Folio 80 verso
urn:cite:hmt:comp.va81r.v1	recto	181	Venetus A Folio 81 recto
urn:cite:hmt:comp.va81v.v1	verso	182	Venetus A Folio 81 verso
urn:cite:hmt:comp.va82r.v1	recto	183	Venetus A Folio 82 recto
urn:cite:hmt:comp.va82v.v1	verso	184	Venetus A Folio 82 verso
urn:cite:hmt:comp.va83r.v1	recto	185	Venetus A Folio 83 recto
urn:cite:hmt:comp.va83v.v1	verso	186	Venetus A Folio 83 verso
urn:cite:hmt:comp.va84r.v1	recto	187	Venetus A Folio 84 recto
urn:cite:hmt:comp.va84v.v1	verso	188	Venetus A Folio 84 verso
urn:cite:hmt:comp.va85r.v1	recto	189	Venetus A Folio 85 recto
urn:cite:hmt:comp.va85v.v1	verso	190	Venetus A Folio 85 verso
urn:cite:hmt:comp.va86r.v1	recto	191	Venetus A Folio 86 recto
urn:cite:hmt:comp.va86v.v1	verso	192	Venetus A Folio 86 verso
urn:cite:hmt:comp.va87r.v1	recto	193	Venetus A Folio 87 recto
urn:cite:hmt:comp.va87v.v1	verso	194	Venetus A Folio 87 verso
urn:cite:hmt:comp.va88r.v1	recto	195	Venetus A Folio 88 recto
urn:cite:hmt:comp.va88v.v1	verso	196	Venetus A Folio 88 verso
urn:cite:hmt:comp.va89r.v1	recto	197	Venetus A Folio 89 recto
urn:cite:hmt:comp.va89v.v1	verso	198	Venetus A Folio 89 verso
urn:cite:hmt:comp.va90r.v1	recto	199	Venetus A Folio 90 recto
urn:cite:hmt:comp.va90v.v1	verso	200	Venetus A Folio 90 verso
urn:cite:hmt:comp.va91r.v1	recto	201	Venetus A Folio 91 recto
urn:cite:hmt:comp.va91v.v1	verso	202	Venetus A Folio 91 verso
urn:cite:hmt:comp.va92r.v1	recto	203	Venetus A Folio 92 recto
urn:cite:hmt:comp.va92v.v1	verso	204	Venetus A Folio 92 verso
urn:cite:hmt:comp.va93r.v1	recto	205	Venetus A Folio 93 recto
urn:cite:hmt:comp.va93v.v1	verso	206	Venetus A Folio 93 verso
urn:cite:hmt:comp.va94r.v1	recto	207	Venetus A Folio 94 recto
urn:cite:hmt:comp.va94v.v1	verso	208	Venetus A Folio 94 verso
urn:cite:hmt:comp.va95r.v1	recto	209	Venetus A Folio 95 recto
urn:cite:hmt:comp.va95v.v1	verso	210	Venetus A Folio 95 verso
urn:cite:hmt:comp.va96r.v1	recto	211	Venetus A Folio 96 recto
urn:cite:hmt:comp.va96v.v1	verso	212	Venetus A Folio 96 verso
urn:cite:hmt:comp.va97r.v1	recto	213	Venetus A Folio 97 recto
urn:cite:hmt:comp.va97v.v1	verso	214	Venetus A Folio 97 verso
urn:cite:hmt:comp.va98r.v1	recto	215	Venetus A Folio 98 recto
urn:cite:hmt:comp.va98v.v1	verso	216	Venetus A Folio 98 verso
urn:cite:hmt:comp.va99r.v1	recto	217	Venetus A Folio 99 recto
urn:cite:hmt:comp.va99v.v1	verso	218	Venetus A Folio 99 verso
urn:cite:hmt:comp.va100r.v1	recto	219	Venetus A Folio 100 recto
urn:cite:hmt:comp.va100v.v1	verso	220	Venetus A Folio 100 verso
urn:cite:hmt:comp.va101r.v1	recto	221	Venetus A Folio 101 recto
urn:cite:hmt:comp.va101v.v1	verso	222	Venetus A Folio 101 verso
urn:cite:hmt:comp.va102r.v1	recto	223	Venetus A Folio 102 recto
urn:cite:hmt:comp.va102v.v1	verso	224	Venetus A Folio 102 verso
urn:cite:hmt:comp.va103r.v1	recto	225	Venetus A Folio 103 recto
urn:cite:hmt:comp.va103v.v1	verso	226	Venetus A Folio 103 verso
urn:cite:hmt:comp.va104r.v1	recto	227	Venetus A Folio 104 recto
urn:cite:hmt:comp.va104v.v1	verso	228	Venetus A Folio 104 verso
urn:cite:hmt:comp.va105r.v1	recto	229	Venetus A Folio 105 recto
urn:cite:hmt:comp.va105v.v1	verso	230	Venetus A Folio 105 verso
urn:cite:hmt:comp.va106r.v1	recto	231	Venetus A Folio 106 recto
urn:cite:hmt:comp.va106v.v1	verso	232	Venetus A Folio 106 verso
urn:cite:hmt:comp.va107r.v1	recto	233	Venetus A Folio 107 recto
urn:cite:hmt:comp.va107v.v1	verso	234	Venetus A Folio 107 verso
urn:cite:hmt:comp.va108r.v1	recto	235	Venetus A Folio 108 recto
urn:cite:hmt:comp.va108v.v1	verso	236	Venetus A Folio 108 verso
urn:cite:hmt:comp.va109r.v1	recto	237	Venetus A Folio 109 recto
urn:cite:hmt:comp.va109v.v1	verso	238	Venetus A Folio 109 verso
urn:cite:hmt:comp.va110r.v1	recto	239	Venetus A Folio 110 recto
urn:cite:hmt:comp.va110v.v1	verso	240	Venetus A Folio 110 verso
urn:cite:hmt:comp.va111r.v1	recto	241	Venetus A Folio 111 recto
urn:cite:hmt:comp.va111v.v1	verso	242	Venetus A Folio 111 verso
urn:cite:hmt:comp.va112r.v1	recto	243	Venetus A Folio 112 recto
urn:cite:hmt:comp.va112v.v1	verso	244	Venetus A Folio 112 verso
urn:cite:hmt:comp.va113r.v1	recto	245	Venetus A Folio 113 recto
urn:cite:hmt:comp.va113v.v1	verso	246	Venetus A Folio 113 verso
