Image.v1,Label,Rights
urn:cite:hmt:e3bifolio.E3_86v_87r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 86v and 87r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_88v_89r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 88v and 89r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_89v_90r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 89v and 90r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_90v_91r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 90v and 91r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_91v_92r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 91v and 92r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_92v_93r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 92v and 93r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_93v_94r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 93v and 94r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_94v_95r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 94v and 95r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_95v_96r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 95v and 96r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_96bisv_97r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 96bisv and 97r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_96v_96bisr.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 96v and 96bisr.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_97bisv_98r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 97bisv and 98r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_97v_97bisr.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 97v and 97bisr.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_97v_98r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 97v and 98r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_98v_99r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 98v and 99r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_99v_100r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 99v and 100r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_100v_101r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 100v and 101r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_101v_102r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 101v and 102r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_102v_103r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 102v and 103r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_103v_104r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 103v and 104r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_104v_105r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 104v and 105r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_105v_106r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 105v and 106r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
urn:cite:hmt:e3bifolio.E3_106v_107r.v1,"Manuscript E3, Escorialensis 291 (Υ.i.1): bifolio spread of folios 106v and 107r.","This image is a composite created from images made available under the terms of a Creative Commons license (CC BY-NC 3.0), and is licensed under same terms."
