urn:cts:greekLit:tlg5026.e3.hmt:8.256	urn:cts:greekLit:tlg0012.tlg001.e3:8.368
urn:cts:greekLit:tlg5026.e3.hmt:8.257	urn:cts:greekLit:tlg0012.tlg001.e3:8.370
urn:cts:greekLit:tlg5026.e3.hmt:8.259	urn:cts:greekLit:tlg0012.tlg001.e3:8.370
urn:cts:greekLit:tlg5026.e3.hmt:8.262	urn:cts:greekLit:tlg0012.tlg001.e3:8.373
urn:cts:greekLit:tlg5026.e3.hmt:8.263	urn:cts:greekLit:tlg0012.tlg001.e3:8.374
urn:cts:greekLit:tlg5026.e3.hmt:8.264	urn:cts:greekLit:tlg0012.tlg001.e3:8.377-8.378
urn:cts:greekLit:tlg5026.e3.hmt:8.276	urn:cts:greekLit:tlg0012.tlg001.e3:8.393
urn:cts:greekLit:tlg5026.e3.hmt:8.277	urn:cts:greekLit:tlg0012.tlg001.e3:8.399-8.400
urn:cts:greekLit:tlg5026.e3.hmt:8.278	urn:cts:greekLit:tlg0012.tlg001.e3:8.406
urn:cts:greekLit:tlg5026.e3.hmt:8.281	urn:cts:greekLit:tlg0012.tlg001.e3:8.407
urn:cts:greekLit:tlg5026.e3.hmt:8.283	urn:cts:greekLit:tlg0012.tlg001.e3:8.408
urn:cts:greekLit:tlg5026.e3.hmt:8.285	urn:cts:greekLit:tlg0012.tlg001.e3:8.411
urn:cts:greekLit:tlg5026.e3.hmt:8.286	urn:cts:greekLit:tlg0012.tlg001.e3:8.413
urn:cts:greekLit:tlg5026.e3.hmt:8.301	urn:cts:greekLit:tlg0012.tlg001.e3:8.415
urn:cts:greekLit:tlg5026.e3.hmt:8.302	urn:cts:greekLit:tlg0012.tlg001.e3:8.420
urn:cts:greekLit:tlg5026.e3.hmt:8.303	urn:cts:greekLit:tlg0012.tlg001.e3:8.423-8.424
urn:cts:greekLit:tlg5026.e3.hmt:8.304	urn:cts:greekLit:tlg0012.tlg001.e3:8.424
urn:cts:greekLit:tlg5026.e3.hmt:8.305	urn:cts:greekLit:tlg0012.tlg001.e3:8.425
urn:cts:greekLit:tlg5026.e3.hmt:8.306	urn:cts:greekLit:tlg0012.tlg001.e3:8.426
urn:cts:greekLit:tlg5026.e3.hmt:8.307	urn:cts:greekLit:tlg0012.tlg001.e3:8.428
urn:cts:greekLit:tlg5026.e3.hmt:8.308	urn:cts:greekLit:tlg0012.tlg001.e3:8.429
urn:cts:greekLit:tlg5026.e3.hmt:8.309	urn:cts:greekLit:tlg0012.tlg001.e3:8.433
urn:cts:greekLit:tlg5026.e3.hmt:8.310	urn:cts:greekLit:tlg0012.tlg001.e3:8.435
urn:cts:greekLit:tlg5026.e3.hmt:8.319	urn:cts:greekLit:tlg0012.tlg001.e3:8.439
urn:cts:greekLit:tlg5026.e3.hmt:8.321	urn:cts:greekLit:tlg0012.tlg001.e3:8.440
urn:cts:greekLit:tlg5026.e3.hmt:8.323	urn:cts:greekLit:tlg0012.tlg001.e3:8.444
urn:cts:greekLit:tlg5026.e3.hmt:8.326	urn:cts:greekLit:tlg0012.tlg001.e3:8.446
urn:cts:greekLit:tlg5026.e3.hmt:8.329	urn:cts:greekLit:tlg0012.tlg001.e3:8.448-8.449
urn:cts:greekLit:tlg5026.e3.hmt:8.331	urn:cts:greekLit:tlg0012.tlg001.e3:8.462
urn:cts:greekLit:tlg5026.e3.hmt:8.343	urn:cts:greekLit:tlg0012.tlg001.e3:8.470-8.476
urn:cts:greekLit:tlg5026.e3.hmt:8.344	urn:cts:greekLit:tlg0012.tlg001.e3:8.473
urn:cts:greekLit:tlg5026.e3.hmt:8.345	urn:cts:greekLit:tlg0012.tlg001.e3:8.477
urn:cts:greekLit:tlg5026.e3.hmt:8.347	urn:cts:greekLit:tlg0012.tlg001.e3:8.478-8.479
urn:cts:greekLit:tlg5026.e3.hmt:8.349	urn:cts:greekLit:tlg0012.tlg001.e3:8.484
urn:cts:greekLit:tlg5026.e3.hmt:8.351	urn:cts:greekLit:tlg0012.tlg001.e3:8.485
urn:cts:greekLit:tlg5026.e3.hmt:8.353	urn:cts:greekLit:tlg0012.tlg001.e3:8.486
