IliadZone,Folio,ImageRoI,Notes
urn:cite:hmt:textblock.1.v1,urn:cite:hmt:msA.12r,"urn:cite:hmt:vaimg.VA012RN_0013.v1@0.0551,0.2305,0.5115,0.494",
urn:cite:hmt:textblock.2.v1,urn:cite:hmt:msA.12v,"urn:cite:hmt:vaimg.VA012VN_0514.v1@0.4975,0.2141,0.3814,0.4793",
urn:cite:hmt:textblock.3.v1,urn:cite:hmt:msA.13r,"urn:cite:hmt:vaimg.VA013RN_0014.v1@0.1722,0.2329,0.3874,0.4793",
urn:cite:hmt:textblock.4.v1,urn:cite:hmt:msA.13v,"urn:cite:hmt:vaimg.VA013VN_0515.v1@0.4805,0.2239,0.3994,0.4763",
urn:cite:hmt:textblock.5.v1,urn:cite:hmt:msA.14r,"urn:cite:hmt:vaimg.VA014RN_0015.v1@0.1802,0.2344,0.3844,0.4823",
urn:cite:hmt:textblock.6.v1,urn:cite:hmt:msA.14v,"urn:cite:hmt:vaimg.VA014VN_0516.v1@0.4775,0.223,0.3654,0.4745",
urn:cite:hmt:textblock.7.v1,urn:cite:hmt:msA.15r,"urn:cite:hmt:vaimg.VA015RN_0016.v1@0.1782,0.2171,0.3954,0.4838",
"urn:cite:hmt:textblock.8".v1,urn:cite:hmt:msA.15v,"urn:cite:hmt:vaimg.VA015VN_0517.v1@0.4785,0.2126,0.4084,0.4718",
"urn:cite:hmt:textblock.9".v1,urn:cite:hmt:msA.16r,"urn:cite:hmt:vaimg.VA016RN_0017.v1@0.1772,0.1961,0.3764,0.4838",
"urn:cite:hmt:textblock.10".v1,urn:cite:hmt:msA.16v,"urn:cite:hmt:vaimg.VA016VN_0518.v1@0.4745,0.2171,0.3574,0.4696",
"urn:cite:hmt:textblock.11".v1,urn:cite:hmt:msA.17r,"urn:cite:hmt:vaimg.VA017RN_0018.v1@0.1682,0.2006,0.3814,0.4778",
"urn:cite:hmt:textblock.12".v1,urn:cite:hmt:msA.17v,"urn:cite:hmt:vaimg.VA017VN_0519.v1@0.4835,0.2209,0.3514,0.4733",
