CtsUrn,Comments,VisualEvidence,FolioUrn
urn:cts:greekLit:tlg5026.msAil.hmt:3.764,"Ail 1","urn:cite:hmt:vaimg.VA049VN-0551@0.56595431,0.38672199,0.09340457,0.02392808","urn:cite:hmt:msA.49v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.765,"Ail 2","urn:cite:hmt:vaimg.VA049VN-0551@0.66249079,0.38699862,0.04845247,0.02130014","urn:cite:hmt:msA.49v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.766,"Ail 3","urn:cite:hmt:vaimg.VA049VN-0551@0.71978629,0.49598893,0.06208548,0.01991701","urn:cite:hmt:msA.49v"
urn:cts:greekLit:tlg5026.msAil.hmt:3.774,"Ail 1","urn:cite:hmt:vaimg.VA050RN-0051@0.23249816,0.21230982,0.10556374,0.01258645","urn:cite:hmt:msA.50r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.775,"Ail 2","urn:cite:hmt:vaimg.VA050RN-0051@0.21702284,0.39225450,0.07221813,0.02378976","urn:cite:hmt:msA.50r"
urn:cts:greekLit:tlg5026.msAil.hmt:3.776,"Ail 3","urn:cite:hmt:vaimg.VA050RN-0051@0.47199705,0.50788382,0.08677229,0.02351314","urn:cite:hmt:msA.50r"
urn:cts:greekLit:tlg5026.msAim.hmt:3.682,"Aim 1","urn:cite:hmt:vaimg.VA042RN-0043@0.42446573,0.67510373,0.11238025,0.04647303","urn:cite:hmt:msA.42r"
urn:cts:greekLit:tlg5026.msAim.hmt:3.683,"Aim 1","urn:cite:hmt:vaimg.VA042VN-0544@0.43662491,0.53222683,0.05821665,0.03941909","urn:cite:hmt:msA.42v"
urn:cts:greekLit:tlg5026.msAim.hmt:3.686,"Aim 1","urn:cite:hmt:vaimg.VA043VN-0545@0.44270450,0.33388658,0.04789978,0.03596127","urn:cite:hmt:msA.43v"
urn:cts:greekLit:tlg5026.msAim.hmt:3.687,"Aim 2","urn:cite:hmt:vaimg.VA043VN-0545@0.46094326,0.62047026,0.02210759,0.01009682","urn:cite:hmt:msA.43v"
urn:cts:greekLit:tlg5026.msAim.hmt:3.693,"Aim 1","urn:cite:hmt:vaimg.VA044RN-0045@0.51086957,0.22365145,0.03426676,0.08838174","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAim.hmt:3.694,"Aim 2","urn:cite:hmt:vaimg.VA044RN-0045@0.50957996,0.60193638,0.06411201,0.03236515","urn:cite:hmt:msA.44r"
urn:cts:greekLit:tlg5026.msAim.hmt:3.705,"Aim 1","urn:cite:hmt:vaimg.VA044VN-0546@0.43349300,0.28976487,0.05250553,0.05366528","urn:cite:hmt:msA.44v"
urn:cts:greekLit:tlg5026.msAim.hmt:3.706,"Aim 2","urn:cite:hmt:vaimg.VA044VN-0546@0.43551953,0.36279391,0.04900516,0.00899032","urn:cite:hmt:msA.44v"
