TextURN,ImageURN
urn:cts:greekLit:tlg0012.tlg001.msA:8.129,"urn:cite:hmt:vaimg.VA103RN-0275@0.1912,0.4786,0.4094,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.130,"urn:cite:hmt:vaimg.VA103RN-0275@0.1812,0.4974,0.4314,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:8.131,"urn:cite:hmt:vaimg.VA103RN-0275@0.1782,0.5162,0.4094,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:8.132,"urn:cite:hmt:vaimg.VA103RN-0275@0.1942,0.5379,0.3884,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:8.133,"urn:cite:hmt:vaimg.VA103RN-0275@0.1932,0.5575,0.4424,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:8.134,"urn:cite:hmt:vaimg.VA103RN-0275@0.1922,0.574,0.3984,0.0391"
urn:cts:greekLit:tlg0012.tlg001.msA:8.135,"urn:cite:hmt:vaimg.VA103RN-0275@0.1912,0.5928,0.3574,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:8.136,"urn:cite:hmt:vaimg.VA103RN-0275@0.1842,0.6131,0.3884,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:8.137,"urn:cite:hmt:vaimg.VA103RN-0275@0.1892,0.6334,0.3924,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.138,"urn:cite:hmt:vaimg.VA103RN-0275@0.1862,0.6521,0.4104,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.139,"urn:cite:hmt:vaimg.VA103RN-0275@0.1682,0.6709,0.4284,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.140,"urn:cite:hmt:vaimg.VA103RN-0275@0.1852,0.689,0.3644,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.141,"urn:cite:hmt:vaimg.VA103RN-0275@0.1852,0.7085,0.3824,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.142,"urn:cite:hmt:vaimg.VA103VN-0606@0.4464,0.2434,0.3453,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.143,"urn:cite:hmt:vaimg.VA103VN-0606@0.4515,0.2637,0.3534,0.027"
urn:cts:greekLit:tlg0012.tlg001.msA:8.144,"urn:cite:hmt:vaimg.VA103VN-0606@0.4525,0.281,0.3644,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.145,"urn:cite:hmt:vaimg.VA103VN-0606@0.4505,0.299,0.3744,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.146,"urn:cite:hmt:vaimg.VA103VN-0606@0.4535,0.3156,0.3864,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.147,"urn:cite:hmt:vaimg.VA103VN-0606@0.4565,0.3343,0.3984,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:8.148,"urn:cite:hmt:vaimg.VA103VN-0606@0.4484,0.3554,0.3734,0.0353"
urn:cts:greekLit:tlg0012.tlg001.msA:8.149,"urn:cite:hmt:vaimg.VA103VN-0606@0.4414,0.3757,0.3904,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.150,"urn:cite:hmt:vaimg.VA103VN-0606@0.4434,0.3944,0.4064,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.151,"urn:cite:hmt:vaimg.VA103VN-0606@0.4595,0.4155,0.3844,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.152,"urn:cite:hmt:vaimg.VA103VN-0606@0.4575,0.432,0.3564,0.0308"
urn:cts:greekLit:tlg0012.tlg001.msA:8.153,"urn:cite:hmt:vaimg.VA103VN-0606@0.4635,0.4478,0.3984,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.154,"urn:cite:hmt:vaimg.VA103VN-0606@0.4595,0.4711,0.3373,0.0338"
urn:cts:greekLit:tlg0012.tlg001.msA:8.155,"urn:cite:hmt:vaimg.VA103VN-0606@0.4635,0.4906,0.3483,0.0301"
urn:cts:greekLit:tlg0012.tlg001.msA:8.156,"urn:cite:hmt:vaimg.VA103VN-0606@0.4585,0.5086,0.4084,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.157,"urn:cite:hmt:vaimg.VA103VN-0606@0.4635,0.5252,0.3984,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.158,"urn:cite:hmt:vaimg.VA103VN-0606@0.4655,0.5485,0.3544,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.159,"urn:cite:hmt:vaimg.VA103VN-0606@0.4625,0.5672,0.3263,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.160,"urn:cite:hmt:vaimg.VA103VN-0606@0.4625,0.5845,0.3914,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.161,"urn:cite:hmt:vaimg.VA103VN-0606@0.4675,0.6063,0.3483,0.0255"
urn:cts:greekLit:tlg0012.tlg001.msA:8.162,"urn:cite:hmt:vaimg.VA103VN-0606@0.4645,0.6236,0.3403,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.163,"urn:cite:hmt:vaimg.VA103VN-0606@0.4535,0.6424,0.3624,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.164,"urn:cite:hmt:vaimg.VA103VN-0606@0.4444,0.6604,0.3624,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.165,"urn:cite:hmt:vaimg.VA103VN-0606@0.4505,0.6799,0.3774,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.166,"urn:cite:hmt:vaimg.VA103VN-0606@0.4434,0.6987,0.3604,0.0316"
urn:cts:greekLit:tlg0012.tlg001.msA:8.167,"urn:cite:hmt:vaimg.VA104RN-0276@0.1872,0.2284,0.3834,0.0368"
urn:cts:greekLit:tlg0012.tlg001.msA:8.168,"urn:cite:hmt:vaimg.VA104RN-0276@0.1792,0.2479,0.3934,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.169,"urn:cite:hmt:vaimg.VA104RN-0276@0.1902,0.2697,0.3974,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.170,"urn:cite:hmt:vaimg.VA104RN-0276@0.1882,0.2885,0.3874,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.171,"urn:cite:hmt:vaimg.VA104RN-0276@0.1902,0.3073,0.3874,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.172,"urn:cite:hmt:vaimg.VA104RN-0276@0.1892,0.3231,0.3764,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.173,"urn:cite:hmt:vaimg.VA104RN-0276@0.1822,0.3441,0.4034,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.174,"urn:cite:hmt:vaimg.VA104RN-0276@0.1882,0.3629,0.4034,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.175,"urn:cite:hmt:vaimg.VA104RN-0276@0.1862,0.3839,0.4064,0.0323"
urn:cts:greekLit:tlg0012.tlg001.msA:8.176,"urn:cite:hmt:vaimg.VA104RN-0276@0.1922,0.4027,0.3884,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.177,"urn:cite:hmt:vaimg.VA104RN-0276@0.1882,0.42,0.3884,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.178,"urn:cite:hmt:vaimg.VA104RN-0276@0.1872,0.4388,0.4324,0.0346"
urn:cts:greekLit:tlg0012.tlg001.msA:8.179,"urn:cite:hmt:vaimg.VA104RN-0276@0.1862,0.4583,0.4274,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:8.180,"urn:cite:hmt:vaimg.VA104RN-0276@0.1872,0.4786,0.4274,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:8.181,"urn:cite:hmt:vaimg.VA104RN-0276@0.1862,0.4966,0.4064,0.0331"
urn:cts:greekLit:tlg0012.tlg001.msA:8.182,"urn:cite:hmt:vaimg.VA104RN-0276@0.1862,0.5177,0.4114,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.184,"urn:cite:hmt:vaimg.VA104RN-0276@0.1852,0.5364,0.3794,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.185,"urn:cite:hmt:vaimg.VA104RN-0276@0.1652,0.5537,0.4304,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.186,"urn:cite:hmt:vaimg.VA104RN-0276@0.1802,0.5748,0.4174,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.187,"urn:cite:hmt:vaimg.VA104RN-0276@0.1862,0.592,0.3954,0.0293"
urn:cts:greekLit:tlg0012.tlg001.msA:8.188,"urn:cite:hmt:vaimg.VA104RN-0276@0.1852,0.6123,0.4124,0.0293"
