OccurrrenceUrn.v1	TextPassage
urn:cite:hmt:venAsign.209.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.203
urn:cite:hmt:venAsign.210.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.204
urn:cite:hmt:venAsign.211.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.205
urn:cite:hmt:venAsign.212.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.217
urn:cite:hmt:venAsign.213.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.220
urn:cite:hmt:venAsign.214.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.226
urn:cite:hmt:venAsign.215.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.227
urn:cite:hmt:venAsign.216.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.229
urn:cite:hmt:venAsign.217.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.231
urn:cite:hmt:venAsign.218.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.238
urn:cite:hmt:venAsign.219.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.239
urn:cite:hmt:venAsign.220.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.247
urn:cite:hmt:venAsign.221.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.252
urn:cite:hmt:venAsign.222.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.253
urn:cite:hmt:venAsign.223.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.254
urn:cite:hmt:venAsign.224.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.255
urn:cite:hmt:venAsign.225.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.256
urn:cite:hmt:venAsign.226.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.258
urn:cite:hmt:venAsign.227.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.260
urn:cite:hmt:venAsign.228.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.264
urn:cite:hmt:venAsign.229.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.269
urn:cite:hmt:venAsign.230.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.276
urn:cite:hmt:venAsign.231.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.278
urn:cite:hmt:venAsign.232.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.286
urn:cite:hmt:venAsign.233.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.291
urn:cite:hmt:venAsign.234.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.297
urn:cite:hmt:venAsign.235.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.299
urn:cite:hmt:venAsign.236.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.300
urn:cite:hmt:venAsign.237.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.302
urn:cite:hmt:venAsign.238.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.314
urn:cite:hmt:venAsign.239.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.318
urn:cite:hmt:venAsign.240.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.319
urn:cite:hmt:venAsign.241.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.320
urn:cite:hmt:venAsign.242.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.328
urn:cite:hmt:venAsign.243.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.341
urn:cite:hmt:venAsign.244.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.349
urn:cite:hmt:venAsign.245.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.353
urn:cite:hmt:venAsign.246.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.356
urn:cite:hmt:venAsign.247.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.381
urn:cite:hmt:venAsign.248.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.385
urn:cite:hmt:venAsign.249.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.397
urn:cite:hmt:venAsign.250.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.412
urn:cite:hmt:venAsign.251.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.417
urn:cite:hmt:venAsign.252.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.422
urn:cite:hmt:venAsign.253.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.424
urn:cite:hmt:venAsign.254.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.435
urn:cite:hmt:venAsign.255.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.438
urn:cite:hmt:venAsign.256.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.440
urn:cite:hmt:venAsign.257.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.453
urn:cite:hmt:venAsign.258.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.454
urn:cite:hmt:venAsign.259.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.455
urn:cite:hmt:venAsign.260.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.480
urn:cite:hmt:venAsign.261.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.485
urn:cite:hmt:venAsign.262.v1	urn:cts:greekLit:tlg0012.tlg001.msA:2.486
