Passage	Sign
urn:cts:greekLit:tlg0012.tlg001.msA:2.193	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.194	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.195	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.196	
urn:cts:greekLit:tlg0012.tlg001.msA:2.197	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.203	urn:cite:hmt:critsigns.dottedantisigma
urn:cts:greekLit:tlg0012.tlg001.msA:2.204	urn:cite:hmt:critsigns.dottedantisigma
urn:cts:greekLit:tlg0012.tlg001.msA:2.205	urn:cite:hmt:critsigns.dottedantisigma
urn:cts:greekLit:tlg0012.tlg001.msA:2.217	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.220	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.226	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.227	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.229	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.231	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.238	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.239	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.247	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.252	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.253	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.254	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.255	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.256	urn:cite:hmt:critsigns.obelos
urn:cts:greekLit:tlg0012.tlg001.msA:2.258	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.260	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.264	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.269	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.276	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.278	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.286	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.291	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.297	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.299	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.300	urn:cite:hmt:critsigns.diple
urn:cts:greekLit:tlg0012.tlg001.msA:2.302	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.314	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.318	urn:cite:hmt:critsigns.dotteddiple
urn:cts:greekLit:tlg0012.tlg001.msA:2.319	urn:cite:hmt:critsigns.obelos
