OccurrenceUrn	Sequence	CriticalSign	TextPassage
urn:cite:hmt:venAsign.111.v1	111	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.393
urn:cite:hmt:venAsign.112.v1	112	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.402
urn:cite:hmt:venAsign.113.v1	113	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.403
urn:cite:hmt:venAsign.114.v1	114	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.404
urn:cite:hmt:venAsign.115.v1	115	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:1.405
urn:cite:hmt:venAsign.116.v1	116	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.412
urn:cite:hmt:venAsign.117.v1	117	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.424
urn:cite:hmt:venAsign.118.v1	118	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.425
urn:cite:hmt:venAsign.119.v1	119	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.429
urn:cite:hmt:venAsign.120.v1	120	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.443
urn:cite:hmt:venAsign.121.v1	121	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.444
urn:cite:hmt:venAsign.122.v1	122	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.454
urn:cite:hmt:venAsign.123.v1	123	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.459
urn:cite:hmt:venAsign.124.v1	124	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.461
urn:cite:hmt:venAsign.125.v1	125	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.467
urn:cite:hmt:venAsign.126.v1	126	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.472
urn:cite:hmt:venAsign.127.v1	127	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.473
urn:cite:hmt:venAsign.128.v1	128	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:1.474
urn:cite:hmt:venAsign.129.v1	129	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.477
urn:cite:hmt:venAsign.130.v1	130	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.493
urn:cite:hmt:venAsign.131.v1	131	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.497
urn:cite:hmt:venAsign.132.v1	132	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.526
urn:cite:hmt:venAsign.133.v1	133	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.530
urn:cite:hmt:venAsign.134.v1	134	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.564
urn:cite:hmt:venAsign.135.v1	135	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.567
urn:cite:hmt:venAsign.136.v1	136	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:1.572
urn:cite:hmt:venAsign.137.v1	137	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:1.578
urn:cite:hmt:venAsign.138.v1	138	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.2
urn:cite:hmt:venAsign.139.v1	139	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.6
urn:cite:hmt:venAsign.140.v1	140	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.8
urn:cite:hmt:venAsign.141.v1	141	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.10
urn:cite:hmt:venAsign.142.v1	142	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.27
urn:cite:hmt:venAsign.143.v1	143	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:2.27
urn:cite:hmt:venAsign.144.v1	144	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.36
urn:cite:hmt:venAsign.145.v1	145	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.41
urn:cite:hmt:venAsign.146.v1	146	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.45
urn:cite:hmt:venAsign.147.v1	147	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.49
urn:cite:hmt:venAsign.148.v1	148	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.55
urn:cite:hmt:venAsign.149.v1	149	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:2.56
urn:cite:hmt:venAsign.150.v1	150	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:2.64
urn:cite:hmt:venAsign.151.v1	151	urn:cite:hmt:critsignsobelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.64
urn:cite:hmt:venAsign.152.v1	152	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.70
urn:cite:hmt:venAsign.153.v1	153	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.76
urn:cite:hmt:venAsign.154.v1	154	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.77
urn:cite:hmt:venAsign.155.v1	155	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.78
urn:cite:hmt:venAsign.156.v1	156	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.79
urn:cite:hmt:venAsign.157.v1	157	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.80
urn:cite:hmt:venAsign.158.v1	158	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.81
urn:cite:hmt:venAsign.159.v1	159	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.82
urn:cite:hmt:venAsign.160.v1	160	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:2.87
urn:cite:hmt:venAsign.161.v1	161	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:2.89
urn:cite:hmt:venAsign.162.v1	162	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:2.93
urn:cite:hmt:venAsign.163.v1	163	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.106
urn:cite:hmt:venAsign.164.v1	164	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.107
urn:cite:hmt:venAsign.165.v1	165	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.108
urn:cite:hmt:venAsign.166.v1	166	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.109
urn:cite:hmt:venAsign.167.v1	167	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:2.110
urn:cite:hmt:venAsign.168.v1	168	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:2.111
urn:cite:hmt:venAsign.169.v1	169	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:2.115
urn:cite:hmt:venAsign.170.v1	170	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:2.116
urn:cite:hmt:venAsign.171.v1	171	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:2.116
urn:cite:hmt:venAsign.172.v1	172	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:2.119
urn:cite:hmt:venAsign.173.v1	173	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:2.122
urn:cite:hmt:venAsign.174.v1	174	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.124
urn:cite:hmt:venAsign.175.v1	175	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.125
urn:cite:hmt:venAsign.176.v1	176	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.130
urn:cite:hmt:venAsign.177.v1	177	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.131
urn:cite:hmt:venAsign.178.v1	178	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.132
urn:cite:hmt:venAsign.179.v1	179	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.133
urn:cite:hmt:venAsign.180.v1	180	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.143
urn:cite:hmt:venAsign.181.v1	181	urn:cite:hmt:critsigns.dotteddiple	urn:cts:greekLit:tlg0012.tlg001.msA:2.144
urn:cite:hmt:venAsign.182.v1	182	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.148
urn:cite:hmt:venAsign.183.v1	183	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.160
urn:cite:hmt:venAsign.184.v1	184	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:2.160
urn:cite:hmt:venAsign.185.v1	185	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.161
urn:cite:hmt:venAsign.186.v1	186	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:2.161
urn:cite:hmt:venAsign.187.v1	187	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.161
urn:cite:hmt:venAsign.188.v1	188	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.162
urn:cite:hmt:venAsign.189.v1	189	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:2.164
urn:cite:hmt:venAsign.190.v1	190	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:2.162
urn:cite:hmt:venAsign.191.v1	191	urn:cite:hmt:critsigns.obelos	urn:cts:greekLit:tlg0012.tlg001.msA:2.164
urn:cite:hmt:venAsign.192.v1	192	urn:cite:hmt:critsigns.diple	urn:cts:greekLit:tlg0012.tlg001.msA:2.167
urn:cite:hmt:venAsign.193.v1	193	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:2.176
urn:cite:hmt:venAsign.194.v1	194	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:2.177
urn:cite:hmt:venAsign.195.v1	195	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:2.178
urn:cite:hmt:venAsign.196.v1	196	urn:cite:hmt:critsigns.asterisk	urn:cts:greekLit:tlg0012.tlg001.msA:2.180
