folio	rv	sequence	label
urn:cite:hmt:comp.va315r	recto	649	Venetus A Folio 315 recto
urn:cite:hmt:comp.va315v	verso	650	Venetus A Folio 315 verso
urn:cite:hmt:comp.va316r	recto	651	Venetus A Folio 316 recto
urn:cite:hmt:comp.va316v	verso	652	Venetus A Folio 316 verso
urn:cite:hmt:comp.va317r	recto	653	Venetus A Folio 317 recto
urn:cite:hmt:comp.va317v	verso	654	Venetus A Folio 317 verso
urn:cite:hmt:comp.va318r	recto	655	Venetus A Folio 318 recto
urn:cite:hmt:comp.va318v	verso	656	Venetus A Folio 318 verso
urn:cite:hmt:comp.va319r	recto	657	Venetus A Folio 319 recto
urn:cite:hmt:comp.va319v	verso	658	Venetus A Folio 319 verso
urn:cite:hmt:comp.va320r	recto	659	Venetus A Folio 320 recto
urn:cite:hmt:comp.va320v	verso	660	Venetus A Folio 320 verso
urn:cite:hmt:comp.va321r	recto	661	Venetus A Folio 321 recto
urn:cite:hmt:comp.va321v	verso	662	Venetus A Folio 321 verso
urn:cite:hmt:comp.va322r	recto	663	Venetus A Folio 322 recto
urn:cite:hmt:comp.va322v	verso	664	Venetus A Folio 322 verso
urn:cite:hmt:comp.va323r	recto	665	Venetus A Folio 323 recto
urn:cite:hmt:comp.va323v	verso	666	Venetus A Folio 323 verso
urn:cite:hmt:comp.va324r	recto	667	Venetus A Folio 324 recto
urn:cite:hmt:comp.va324v	verso	668	Venetus A Folio 324 verso
urn:cite:hmt:comp.va325r	recto	669	Venetus A Folio 325 recto
urn:cite:hmt:comp.va325v	verso	670	Venetus A Folio 325 verso
urn:cite:hmt:comp.va326r	recto	671	Venetus A Folio 326 recto
urn:cite:hmt:comp.va326v	verso	672	Venetus A Folio 326 verso
urn:cite:hmt:comp.va327r	recto	673	Venetus A Folio 327 recto
urn:cite:hmt:comp.va327v	verso	674	Venetus A Folio 327 verso
urn:cite:hmt:comp.bm1	recto	675	Back Fly
urn:cite:hmt:comp.bm2	verso	676	Back Fly
urn:cite:hmt:comp.bm3	recto	677	Inside Back Cover
urn:cite:hmt:comp.bm4	verso	678	Back Cover
