Siglum	Sequence	URN	RV	Label	CodexURN
msA	174	urn:cite:hmt:msA.87v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 87v	urn:cite:hmt:codex.msA
msA	175	urn:cite:hmt:msA.88r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 88r	urn:cite:hmt:codex.msA
msA	176	urn:cite:hmt:msA.88v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 88v	urn:cite:hmt:codex.msA
msA	177	urn:cite:hmt:msA.89r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 89r	urn:cite:hmt:codex.msA
msA	178	urn:cite:hmt:msA.89v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 89v	urn:cite:hmt:codex.msA
msA	179	urn:cite:hmt:msA.90r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 90r	urn:cite:hmt:codex.msA
msA	180	urn:cite:hmt:msA.90v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 90v	urn:cite:hmt:codex.msA
msA	181	urn:cite:hmt:msA.91r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 91r	urn:cite:hmt:codex.msA
msA	182	urn:cite:hmt:msA.91v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 91v	urn:cite:hmt:codex.msA
msA	183	urn:cite:hmt:msA.92r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 92r	urn:cite:hmt:codex.msA
msA	184	urn:cite:hmt:msA.92v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 92v	urn:cite:hmt:codex.msA
msA	185	urn:cite:hmt:msA.93r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 93r	urn:cite:hmt:codex.msA
msA	186	urn:cite:hmt:msA.93v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 93v	urn:cite:hmt:codex.msA
msA	187	urn:cite:hmt:msA.94r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 94r	urn:cite:hmt:codex.msA
msA	188	urn:cite:hmt:msA.94v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 94v	urn:cite:hmt:codex.msA
msA	189	urn:cite:hmt:msA.95r	recto	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 95r	urn:cite:hmt:codex.msA
msA	190	urn:cite:hmt:msA.95v	verso	Marcianus Graecus Z. 454 (= 822) (Venetus A), folio 95v	urn:cite:hmt:codex.msA
